id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5VIQS5LloN1knkDXVkQoTC,"Goldberg Variations, BWV 988: Var. 28",Johann Sebastian Bach,25,classical,0.186,0.0437,4,-28.111,0,0.0415,0.974,0.5175,0.381,0.3,75.286,155907,3
1Q0K8VQsLikOnpqADofYEU,"Goldberg Variations, BWV 988: Var. 29",Johann Sebastian Bach,25,classical,0.253,0.249,7,-20.798,1,0.0387,0.985,0.5175,0.158,0.847,71.612,173947,3
6FI9V9G5NEQoqJPtm2La5G,"Goldberg Variations, BWV 988: Var. 30, Quodlibet",Johann Sebastian Bach,25,classical,0.18,0.147,7,-15.947,1,0.0357,0.648,0.5175,0.14,0.31,127.97,129907,4
3Bh7oiLhM9Nk0gXED2rwbQ,"J.S. Bach: Englische Suite Nr. 2 in A-moll, BWV 807 – 2. Allemande",Johann Sebastian Bach,23,classical,0.459,0.0595,9,-30.659,0,0.054,0.996,0.5175,0.0714,0.585,117.849,208467,4
2Cgv5F5fgrl2u2qsNv2V0w,"Chromatic Fantasia & Fugue in D Minor, BWV 903: I. Fantasia",Johann Sebastian Bach,21,classical,0.153,0.258,6,-19.346,0,0.0404,0.632,0.0427,0.132,0.34,76.568,317936,4
2cXu95YlML3FhOxEMBljNI,"Sinfonia No. 9 in F Minor, BWV 795",Johann Sebastian Bach,20,classical,0.572,0.153,4,-21.267,0,0.0472,0.868,0.253,0.0687,0.349,88.297,206778,4
5g118CuRrmLeEZ3ng0ZFZI,"St. John Passion, BWV 245, Pt. 2: No. 28, Er nahm alles wohl in acht",Johann Sebastian Bach,22,classical,0.126,0.114,8,-21.741,1,0.0555,0.992,0.5175,0.127,0.19,171.257,63840,5
4uIv01b5I0kcwneVpzMoaI,"St. John Passion, BWV 245, Pt. 2: No. 29, Und von Stund an nahm sie der Jünger zu sich",Johann Sebastian Bach,22,classical,0.417,0.0202,1,-29.078,1,0.0565,0.932,0,0.15,0.0794,74.265,82133,3
6e3tPpgY5o8l6Hm22EKVwH,"Passacaglia & Fugue in C Minor, BWV 582",Johann Sebastian Bach,25,classical,0.107,0.19,0,-17.732,0,0.0342,0.801,0.5175,0.137,0.143,70.64,447053,3
1IEsXR5ElXJ5iXegYI7yAp,"Organ Concerto No. 4 in C Major, BWV 595 (After Johann Ernst Prinz von Sachsen-Weimar)",Johann Sebastian Bach,25,classical,0.167,0.0571,1,-24.026,1,0.0354,0.792,0.5175,0.0955,0.137,77.019,264533,4
4lIzajOViwL1t1u3chWUXh,"J.S. Bach: Englische Suite Nr. 2 in A-moll, BWV 807 – 3. Courante",Johann Sebastian Bach,23,classical,0.456,0.122,0,-25.534,1,0.0461,0.994,0.5175,0.137,0.897,99.915,93160,4
